,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
98,Greg Sletteland,Welcome to Los Angeles (Electronic Dance Music Festival DJ Hits Remix),7ayJbUoDbRv1WdSL6Oz8jZ,22,0.646,0.716,1,-11.665,1,0.0282,0.000851,0.757,0.179,0.53,124.008,270742,4
99,Conan Gray,Maniac,6KfoDhO4XUWSbnyKjNp9c4,82,0.628,0.639,8,-5.46,1,0.0435,0.00162,0.0,0.354,0.493,108.045,185773,4
100,Greg Sletteland,"More Love, Techno, & Rave DJ (Amsterdam Electronic Dance Music Festival Hits Radio Version)",389AuKbCi6WM3H4RtLQ1MJ,22,0.489,0.873,6,-11.054,1,0.0432,0.0177,0.556,0.0451,0.71,124.965,230400,4
101,Pooh Shiesty,Back In Blood (feat. Lil Durk),7JuHVG3qQKQKxC4doneXVW,76,0.759,0.538,8,-8.256,0,0.384,0.151,0.0,0.126,0.831,146.933,184490,4
102,Greg Sletteland,Tell Me You Want Me DJ (Ktown Electronic Dance Music Festival DJ Hits Remix),5X7nP2lTCFyTHHoxAQJX1w,22,0.769,0.82,2,-7.942,1,0.0557,2.01e-06,0.894,0.0707,0.398,127.991,165000,4
103,Noah Cyrus,July,6J2LdBN97cDWn0MLxYh9HB,81,0.708,0.186,9,-8.953,0,0.042,0.868,0.0,0.0779,0.322,72.541,156106,4
104,Greg Sletteland,The Sign (NYC Deep House Party Crossfit Workout Hits DJ Club Remix),2P3MdLsPyIANfRHmG399O4,22,0.707,0.557,0,-9.824,1,0.0408,0.00013,0.858,0.27,0.616,121.997,204590,4
105,Big Sean,Wolves (feat. Post Malone),33gwZOGJWEZ7dRWPqPxBEZ,79,0.724,0.675,2,-5.267,1,0.0867,0.0978,9.41e-06,0.351,0.325,160.048,199758,4
106,Greg Sletteland,Gravity Pulls Us Together Djs (Usa Deep House Party Crossfit Workout Hits DJ Club Remix),7FEtHxi32h47hNP2ERvjnb,22,0.716,0.825,1,-12.319,0,0.043,0.0103,0.88,0.121,0.475,124.95,245760,3
107,Pop Smoke,Mood Swings (feat. Lil Tjay),5rZlwNFl01HqLWBQGryKSm,82,0.48,0.602,10,-6.335,0,0.368,0.487,0.0,0.0848,0.269,179.798,213333,4
108,Greg Sletteland,Rise Together DJ (Las Vegas Electronic Dance Music Festival Edm Hits Radio Version),7IjjojHPOX526CNxpicnR4,22,0.621,0.792,5,-6.935,1,0.0246,3.84e-05,0.9,0.133,0.347,127.977,166880,4
109,Little Big Town,"Wine, Beer, Whiskey",5avVDmK9FVJpd3MDO8I3Zl,75,0.727,0.914,7,-5.85,1,0.0743,0.617,0.0,0.596,0.784,106.021,196160,4
110,Greg Sletteland,Take Me Higher to Tomorrowland DJ (Electronic Dance Music Festival EDM Hits Club Remix),7qPTs2BmbdGJ8my1l8e9Tj,22,0.496,0.932,7,-4.943,1,0.0316,0.00851,0.0525,0.267,0.132,137.985,193043,4
111,SyKo,#BrooklynBloodPop!,7K9Z3yFNNLv5kwTjQYGjnu,82,0.691,0.814,1,-3.788,0,0.117,0.0164,0.0,0.366,0.509,132.012,145611,4
112,Greg Sletteland,Exchange of Love (Los Angeles Late Night Dance Party EDM DJ Hits Club Remix),5EMFtx03txBCUhWo1Tfiic,22,0.495,0.897,2,-9.011,0,0.0354,0.00428,0.107,0.183,0.314,137.999,139130,4
113,Playboi Carti,Sky,29TPjc8wxfz4XMn21O7VsZ,79,0.785,0.903,2,-4.184,1,0.21,0.258,0.0,0.169,0.565,139.98,193234,4
114,Greg Sletteland,After Party DJ (UK Progressive Trance Edm Gym Workout Hits Remix),7kdxjMyEAP06fyq5qMfEUk,22,0.541,0.953,0,-8.749,1,0.0487,0.000202,0.899,0.184,0.293,138.079,166957,4
115,Future,Life Is Good (feat. Drake),5yY9lUy8nbvjM1Uyo1Uqoc,81,0.676,0.609,2,-5.831,0,0.481,0.0706,0.0,0.152,0.508,142.037,237735,4
116,Greg Sletteland,Reach in the Sky DJ (Favorite Progressive House EDM Crossfit Workout Hits DJ Club Remix),5O9ldsFiyUQHgGblXNb9tT,22,0.53,0.912,6,-8.685,0,0.04,1.75e-05,0.979,0.114,0.96,128.067,225000,4
117,Gabby Barrett,I Hope,23T0OX7QOiIUFShSzbJ5Uo,77,0.466,0.536,6,-6.227,1,0.0429,0.0951,0.0,0.114,0.377,75.998,210773,4
118,Greg Sletteland,Can't Stop This Feeling (Deep House Dance Party Remix),0VoyCzfd4M5p23pu5HL1Vy,22,0.637,0.581,8,-10.073,0,0.0553,0.00839,0.0777,0.114,0.488,123.912,185803,4
119,21 Savage,Runnin,5SWnsxjhdcEDc7LJjq9UHk,78,0.819,0.626,10,-4.574,0,0.202,0.00748,0.101,0.167,0.415,143.01,195906,4
120,Greg Sletteland,Oh Baby Baby (Electronic Dance Party Remix),7puPB5ixFOkP7nYysVqCU1,22,0.802,0.703,1,-10.408,1,0.0412,0.000427,0.182,0.0878,0.885,116.007,219257,4
121,Juice WRLD,Righteous,5dOxHHMOFAbG3VH23t0xNm,79,0.706,0.625,0,-7.426,1,0.0314,0.0417,0.0,0.129,0.225,142.948,242181,4
122,Greg Sletteland,I Have a Dream (Deep House Dance Party Remix),1QD7KtRE3D1IUHhPsSRpz5,23,0.809,0.869,7,-7.856,1,0.0509,0.0119,0.837,0.0913,0.971,122.01,141640,4
123,Sam Hunt,Breaking Up Was Easy In The 90's,4sf2L157iEgAR7yrCNLgSq,75,0.562,0.649,9,-5.4,1,0.0494,0.231,0.0,0.341,0.376,145.913,215933,4
124,Greg Sletteland,Two Hearts All In (Deep House Dance Party Remix),3YheyJ5hmE5119nBnGCt9W,22,0.81,0.689,4,-9.962,0,0.0618,0.000856,0.924,0.154,0.43,119.983,208001,4
125,Jack Harlow,WHATS POPPIN,1jaTQ3nqY3oAAYyCTbIvnM,79,0.923,0.604,11,-6.671,0,0.245,0.017,0.0,0.272,0.826,145.062,139741,4
126,Greg Sletteland,One More Time Hands up Hollywood (Electronic Dance Party Remix),5LJ3F6BPFfwpjbzYQN2cIx,22,0.69,0.711,4,-10.146,0,0.0406,0.000332,0.0889,0.109,0.373,128.002,254977,4
127,Juice WRLD,Hate The Other Side (with Marshmello & The Kid Laroi),0ada5XsQGLPUVbmTCkAP49,78,0.701,0.65,6,-6.313,1,0.104,0.291,0.0,0.112,0.647,90.003,160212,4
128,Greg Sletteland,Feel Love in the Music (Chill Electronic Music Remix),4iVUdetI0cQ4cOmuvGEyuA,22,0.853,0.381,7,-11.549,1,0.0552,0.27,0.95,0.108,0.288,123.994,185805,4
129,Megan Thee Stallion,Cry Baby (feat. DaBaby),4aarlAfLKVCTxUDNgbwhjH,77,0.957,0.437,11,-7.882,1,0.359,0.00402,0.0,0.219,0.616,130.058,137984,4
130,Greg Sletteland,I Can Feel the Love from You (Deep House Dance Party Remix),5uDdlGnNidP0iBOiWPhhPz,22,0.753,0.913,3,-7.479,0,0.0333,0.00695,0.197,0.144,0.951,121.97,188864,4
131,Lee Brice,One Of Them Girls,14GwnOeC9qYEKEA6uOZepa,76,0.643,0.79,4,-6.079,1,0.0462,0.294,0.0,0.107,0.8,95.987,188893,4
132,Greg Sletteland,Baby You're One of a Kind (Chill Electronic Music Remix),1JjUJUycDSFvZK0iWGWFW9,22,0.728,0.589,7,-11.947,1,0.0463,4.71e-05,0.56,0.0627,0.637,125.023,230221,4
133,Ty Dolla $ign,Spicy (feat. Post Malone),5IUtvfNvOyVYZUa6AJFrnP,80,0.782,0.51,4,-5.724,0,0.0419,0.143,0.0,0.115,0.118,99.993,143375,4
134,Greg Sletteland,Lose My Defenses (Yoga & Pilates Chill Electronic Music Remix),2Gl0xdYcjTkMnqEm687VZB,22,0.707,0.426,3,-13.768,0,0.0384,0.0875,0.935,0.109,0.665,124.018,185807,4
135,Drake,Chicago Freestyle (feat. Giveon),4wVOKKEHUJxHCFFNUWDn0B,80,0.735,0.449,10,-7.507,1,0.347,0.629,0.0,0.113,0.0397,122.947,220488,4
136,Greg Sletteland,Can We Take This to the Next Level (Fitness Workout Music Remix),3DkpThpq5Nos0vy1cCgQ4e,22,0.636,0.752,2,-9.619,1,0.0409,0.151,0.604,0.0934,0.847,128.022,187510,4
137,Polo G,Flex (feat. Juice WRLD),2QqJTIlGKRLJC3onkavYEz,77,0.752,0.673,10,-5.792,0,0.153,0.0538,0.0,0.133,0.35,164.009,163902,4
138,Greg Sletteland,I Just Want You Baby (Chill Electronic Music Remix),7CRAq7uALKmK3CDSMzpP39,22,0.738,0.888,10,-8.254,0,0.0342,0.403,0.926,0.0944,0.918,124.058,201295,4
